Longitude,Latitude,Mammal,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Mean.Elevation,SD.Elevation
-45,55,5,8.4375,57.6875,31.1875,4377,108.4375,-73.5625,182,-15.625,43,65.75,-43.125,1781,179.5625,110.5,14.4375,510.9375,356.5625,380.3125,472.875,274.4269471,189.1369061
-15,55,22,97.8,59.4,40.8,3092.12,176.64,32.76,143.88,71,107.4,138.68,61.6,1375.12,156.88,74.76,26.04,457.12,236,309.8,422.32,115.6516854,140.0105148
-5,55,48,85.60178971,66.91946309,36.59004474,4150.91387,185.0995526,4.11689038,180.9826622,57.00447427,91.59563758,140.2550336,34.96532438,1050.793624,116.9932886,60.92785235,20.37695749,334.8624161,194.4457494,227.3914989,300.4155481,158.4845479,149.8381086
5,55,79,80.1996124,68.50129199,30.03488372,5661.425065,201.1143411,-22.99870801,224.1130491,106.2338501,44.0626615,152.2926357,8.916666667,892.0607235,97.7622739,50.42571059,19.16537468,279.4192506,165.2861757,235.0736434,210.4056848,182.7928169,267.0201244
15,55,82,74.6415977,74.01403383,27.09859662,6943.095358,218.0777258,-49.9870457,268.0647715,153.6293631,8.495142137,163.2270601,-14.69125585,616.5577546,74.33825117,32.04857863,26.76754228,210.1266643,104.9895646,202.5656711,123.7596258,141.995064,138.5190296
25,55,86,62.44273612,78.16818324,24.42987135,8404.644179,225.1286476,-88.63853153,313.7671792,157.0900533,-32.75745215,167.2406652,-47.76561029,628.8597427,82.13053028,28.66457484,32.62849074,229.0549106,97.33856291,223.761845,112.4330091,132.7022666,62.13567346
35,55,88,49.13138889,83.54833333,22.90916667,9728.565556,233.8519444,-123.8488889,357.7008333,169.7727778,-60.6375,170.8858333,-77.16555556,615.0427778,82.52027778,28.28944444,31.31333333,222.3797222,96.19138889,222.0011111,112.6155556,164.3555094,50.81307367
45,55,95,42.55583333,84.80083333,20.58833333,11208.07528,249.2541667,-152.8852778,402.1394444,172.8944444,-54.79944444,182.5144444,-103.3133333,550.6113889,71.24444444,25.66222222,28.54527778,187.9091667,86.90388889,187.5877778,107.3961111,142.1351632,54.62859448
55,55,99,26.48416667,98.66388889,21.50805556,12273.17694,255.2380556,-191.6591667,446.8972222,165.9744444,-76.12833333,178.3666667,-134.9086111,518.1719444,67.41083333,24.05888889,29.37277778,179.3291667,81.26111111,179.0788889,98.35694444,231.6398319,143.0411528
65,55,83,18.32472222,99.66194444,20.80638889,13084.41694,255.7308333,-211.4216667,467.1525,177.5455556,-135.6672222,179.6175,-154.0313889,393.445,66.49861111,14.09361111,44.77666667,165.5005556,49.18972222,165.4319444,57.13944444,176.9786097,95.42430615
75,55,83,6.688888889,102.6827778,20.74916667,13565.29417,253.2525,-229.5802778,482.8327778,172.8052778,-149.3875,174.9127778,-170.9911111,390.4947222,63.29833333,14.00805556,46.16777778,165.8747222,48.66333333,165.4777778,55.72333333,159.5244438,117.1076073
85,55,112,-0.439166667,108.6677778,22.52055556,12992.46917,244.1533333,-229.0366667,473.19,162.1341667,-146.9225,163.0655556,-170.7522222,483.2036111,70.02166667,17.16638889,43.99055556,194.0869444,58.25861111,193.8341667,67.09416667,417.3595188,538.8371583
95,55,109,-34.9975,122.7352778,22.84777778,14408.81917,225.5052778,-300.3483333,525.8536111,140.5997222,-202.2658333,141.8933333,-229.7386111,458.4091667,86.92361111,11.66527778,62.54,218.3708333,41.50833333,218.2644444,47.94111111,804.1289007,645.5227093
105,55,95,-38.34527778,129.8486111,23.84777778,14439.2825,226.8894444,-308.3666667,535.2561111,140.6458333,-200.9786111,141.2419444,-232.4227778,414.0938889,85.90777778,9.228055556,70.55472222,216.8083333,32.79416667,216.6855556,42.305,737.3451646,432.8338606
115,55,88,-65.78333333,138.1880556,23.06222222,16143.39083,221.4244444,-366.1875,587.6119444,133.6533333,-242.2883333,133.6838889,-281.8822222,416.6419444,98.2125,5.809722222,91.27611111,252.6861111,21.01833333,252.6822222,25.20638889,941.9519903,366.0254509
125,55,77,-61.41138889,128.7022222,21.00027778,17024.30611,231.1083333,-368.3008333,599.4091667,146.9533333,-256.2575,147.0830556,-288.5961111,511.79,112.735,7.461944444,84.05833333,293.9997222,27.42333333,293.9819444,29.33944444,652.5459667,299.9101408
135,55,72,-67.4363419,111.1028093,18.67274357,16838.12343,209.9381351,-369.8696952,579.8078302,131.4680215,-252.5376569,135.2086073,-294.8553497,602.2525403,114.5098625,10.89121339,69.84279737,307.2014345,39.5427376,301.2821279,44.92139868,597.1193923,355.7780135
